pincode,district_lgd_code,lat,lng
614805,582,10.358600,78.881200
614806,579,10.710650,79.744800
614807,579,10.849400,79.738900
614808,579,10.849400,79.738900
614809,579,10.470500,79.832511
614810,579,10.372100,79.851000
614901,586,10.484714,79.341400
614902,586,10.608829,79.181986
614903,586,10.504125,79.415375
614904,586,10.671600,79.241300
614905,586,10.571500,79.381500
614906,586,10.457120,79.372780
620001,591,10.888900,78.570400
620002,591,10.888900,78.570400
620003,591,10.888900,78.570400
620004,591,10.782300,78.724500
620005,591,10.849000,78.742800
620006,591,10.871100,78.665000
620007,591,10.733900,78.718400
620008,591,10.888900,78.570400
620009,591,10.764286,78.607914
620010,591,10.820900,78.728500
620011,591,10.749800,78.776300
620012,591,10.820200,78.702760
620013,591,10.812100,78.793700
620014,591,10.749800,78.776300
620015,591,10.752500,78.802100
620016,591,10.750500,78.776300
620017,591,10.888900,78.570400
620018,591,10.749800,78.776300
620019,591,10.749800,78.776300
620020,591,10.660500,78.788900
620021,591,10.660500,78.788900
620022,591,10.660500,78.788900
620023,591,10.660500,78.788900
620024,591,10.660500,78.788900
620025,591,10.660500,78.788900
620026,591,10.660500,78.788900
620101,591,10.860700,78.651867
620102,591,10.820200,78.628211
621001,591,11.171700,78.530078
621002,591,11.124185,78.716777
621003,591,11.242100,78.500700
621004,591,11.098100,78.652800
621005,591,11.026900,78.746000
621006,591,10.908957,78.584543
621007,591,11.057900,78.695833
621008,591,11.148667,78.619200
621009,591,11.136500,78.628300
621010,591,11.255400,78.492100
621011,591,10.957425,78.563987
621012,591,11.293800,78.496400
621014,591,11.045100,78.569429
621101,581,11.152260,78.709520
621102,581,11.317533,78.788833
621103,581,11.364700,78.724483
621104,581,11.153810,78.768670
621105,591,11.005729,78.799371
621106,581,11.273300,78.893000
621107,581,11.244760,78.819580
621108,581,11.350775,78.841250
621109,581,11.125814,78.858800
621110,581,11.274400,78.654950
621111,591,10.888900,78.570400
621112,591,10.934000,78.749075
621113,581,11.230467,78.892517
621114,581,11.088500,78.716000
621115,581,11.296250,78.944110
621116,581,11.387900,78.784083
621117,581,11.322073,78.902545
621118,581,11.215280,78.766100
621133,581,11.262400,78.822700
621202,591,10.930500,78.525100
621203,591,10.982780,78.316080
621204,591,10.909075,78.558800
621205,591,10.968063,78.533888
621206,591,11.073187,78.544112
621207,591,11.026582,78.327018
621208,591,11.118638,78.473200
621209,591,10.976400,78.380500
621210,591,11.172629,78.446986
621211,591,10.775611,78.428411
621212,581,11.273300,78.893000
621213,591,10.889250,78.583317
621214,591,11.124622,78.399422
621215,591,10.948073,78.487591
621216,591,11.006300,78.556600
621217,591,10.888900,78.570400
621218,591,10.905414,78.838857
621219,581,11.332700,78.864400
621220,581,11.240831,78.863508
621301,576,10.769590,78.213900
621302,591,10.852650,78.544540
621305,591,10.579620,78.419190
621306,591,10.642020,78.396990
621307,591,10.631936,78.413282
621308,591,10.382010,78.520130
621310,591,10.445700,78.367612
621311,576,10.821836,78.143945
621312,591,10.782575,78.530588
621313,576,10.832473,78.163127
621314,591,10.425878,78.373156
621315,591,10.605764,78.367173
621316,582,10.603869,78.568485
621601,591,11.021600,78.953400
621651,591,11.015780,78.910470
621652,591,11.021600,78.953400
621653,591,11.011550,78.934883
621701,610,11.044893,79.255693
621702,591,10.878817,78.913967
621703,591,10.856337,78.755550
621704,610,11.122380,79.146887
621705,610,11.160500,79.205700
621706,591,10.892783,78.681267
621707,610,11.015511,79.081700
621708,581,11.238292,79.004692
621709,610,11.357000,79.160600
621710,610,11.233710,79.304410
621711,591,10.943611,78.915511
621712,591,10.919475,78.831388
621713,610,11.172423,79.158800
621714,610,11.267733,79.170311
621715,610,10.958964,79.113627
621716,581,11.297744,79.086611
621717,581,11.285825,78.934763
621718,610,11.221800,79.151671
621719,610,11.310600,79.256600
621722,591,10.909500,78.989267
621729,610,11.160500,79.244200
621730,610,11.008700,79.196900
621801,610,11.335500,79.377100
621802,610,11.187800,79.347133
621803,610,11.039867,79.237233
621804,610,11.169794,79.244006
621805,610,11.355300,79.418600
621806,610,11.099329,79.260371
621851,610,10.969900,79.025500
622001,582,10.355900,78.687600
622002,582,10.353909,78.689264
622003,582,10.351283,78.752317
622004,582,10.411525,78.843600
622005,582,10.355900,78.687600
622101,582,10.483571,78.715000
622102,582,10.469220,78.776210
622103,582,10.476100,78.761900
622104,582,10.397500,78.698300
622201,582,10.362929,78.789486
622202,582,10.240171,78.839986
622203,582,10.557350,79.063492
622204,582,10.067017,78.975583
622209,582,10.169080,78.855500
622301,582,10.382400,78.924337
622302,582,10.411058,78.962392
622303,582,10.372311,78.889200
622304,582,10.358644,79.016533
622401,582,10.352867,78.824733
622402,582,10.316360,78.635620
622403,582,10.201600,78.502900
